date,vm.VmStatistic.BlockStats.VmBlockStatistic.RdReq,vm.VmStatistic.BlockStats.VmBlockStatistic.WrReq,vm.VmStatistic.CpuStat.System,vm.VmStatistic.CpuStat.User,vm.VmStatistic.MemStat.GuestAvailable,vm.VmStatistic.NetStats.VmNetStatistic.RxBytes,vm.VmStatistic.NetStats.VmNetStatistic.TxBytes
2023-07-22 22:10:23,0.0,0.35666666666666663,13.846666666666668,36.45333333333333,33566261248.0,188164.26333333334,263461.02999999997
2023-07-22 22:15:23,0.0,0.3433333333333333,13.296666666666667,36.483333333333334,33566261248.0,188356.17666666667,262457.14
2023-07-22 22:20:23,0.0,0.35,14.65,43.986666666666665,33566261248.0,185476.96333333332,260055.01999999996
2023-07-22 22:25:23,0.0,0.3266666666666666,4.903333333333333,43.989999999999995,33566261248.0,179777.44,253613.07666666666
2023-07-22 22:30:23,0.0,0.32999999999999996,0.0,47.82666666666667,33566261248.0,173477.72333333333,245691.88666666666
2023-07-22 22:35:23,0.0,0.30666666666666664,0.0,47.72,33566261248.0,171940.46333333332,242825.24333333332
2023-07-22 22:40:23,0.0,0.41666666666666663,0.0,47.97,33566261248.0,171023.57333333333,242947.76666666666
2023-07-22 22:45:23,0.0,0.45999999999999996,0.0,47.190000000000005,33566261248.0,164562.38333333336,233809.25666666665
2023-07-22 22:50:23,0.0,0.51,0.0,45.42,33566261248.0,156797.0,223031.25999999995
2023-07-22 22:55:23,0.0,0.41,0.0,45.78666666666667,33566261248.0,159989.70666666667,228493.65
2023-07-22 23:00:23,0.0,0.3966666666666666,0.0,43.943333333333335,33566261248.0,144363.67333333334,210611.30666666664
2023-07-22 23:05:23,0.0,0.35666666666666663,0.0,43.07666666666667,33566261248.0,139595.88666666666,204937.06666666665
2023-07-22 23:10:23,0.0,0.30333333333333334,5.276666666666666,38.11666666666666,33566261248.0,141652.71000000002,206765.05333333332
2023-07-22 23:15:23,0.0,0.3333333333333333,10.856666666666666,31.826666666666664,33566261248.0,137571.60666666666,203801.89333333334
2023-07-22 23:20:23,0.0,0.3433333333333334,10.9,31.509999999999998,33566261248.0,133796.52666666667,200062.11666666664
2023-07-22 23:25:23,0.0,0.36,10.813333333333333,31.446666666666665,33566261248.0,131417.29333333333,197699.65
2023-07-22 23:30:23,0.0,0.32999999999999996,10.51,30.98,33566261248.0,125721.21666666667,191408.71
2023-07-22 23:35:23,0.0,0.36,10.503333333333334,30.85333333333333,33566261248.0,122822.11666666667,188218.73333333334
2023-07-22 23:40:23,0.0,0.4033333333333333,10.180000000000001,30.546666666666663,33566261248.0,119949.95,184036.88666666666
2023-07-22 23:45:23,0.0,0.37,9.983333333333333,29.886666666666667,33566261248.0,116880.37,179970.16666666666
2023-07-22 23:50:23,0.0,0.39999999999999997,4.273333333333333,35.05333333333333,33566261248.0,112477.15333333335,175232.38666666666
2023-07-22 23:55:23,0.0,0.3833333333333333,0.0,39.68666666666667,33566261248.0,111524.67,172955.10333333333
2023-07-23 00:00:23,0.0,0.45999999999999996,0.0,38.41666666666667,33566261248.0,106606.15666666666,164836.85333333333
2023-07-23 00:05:23,0.0,0.29666666666666663,0.0,38.19666666666667,33566261248.0,105029.83,165563.04333333333
2023-07-23 00:10:23,0.0,0.3466666666666667,0.0,37.913333333333334,33566261248.0,103407.02333333335,162651.43333333332
2023-07-23 00:15:23,0.0,0.2866666666666666,0.0,37.489999999999995,33566261248.0,100692.11,159058.22666666665
2023-07-23 00:20:23,0.0,0.3366666666666666,0.0,37.489999999999995,33566261248.0,99568.65333333334,158852.66333333333
2023-07-23 00:25:23,0.0,0.32999999999999996,0.0,36.89333333333333,33566261248.0,96502.93000000001,154413.12666666665
2023-07-23 00:30:23,0.0,0.35333333333333333,0.0,36.64333333333333,33566261248.0,93840.57333333333,151019.51
2023-07-23 00:35:23,0.0,0.3166666666666666,0.0,36.05333333333333,33566261248.0,91822.07333333333,148643.51
2023-07-23 00:40:23,0.0,0.36666666666666664,0.0,36.42333333333333,33566261248.0,92135.63999999998,147120.72666666665
2023-07-23 00:45:23,0.0,0.30999999999999994,0.0,36.63,33566261248.0,93704.44666666667,150060.0
2023-07-23 00:50:23,0.0,0.30999999999999994,4.566666666666666,31.20333333333333,33566261248.0,90491.44666666667,145837.2
2023-07-23 00:55:23,0.0,0.2899999999999999,8.836666666666666,27.45,33566261248.0,90596.49666666667,146846.80333333334
2023-07-23 01:00:23,0.0,0.4133333333333333,8.55,27.083333333333332,33566261248.0,86428.98666666666,141405.68666666668
2023-07-23 01:05:23,0.0,0.3633333333333333,8.413333333333332,26.573333333333334,33566261248.0,83760.39666666667,137671.35333333333
2023-07-23 01:10:23,0.0,0.39666666666666667,8.48,26.869999999999997,33566261248.0,83941.01999999999,138102.97333333333
2023-07-23 01:15:23,0.0,0.43999999999999995,8.243333333333334,26.43,33566261248.0,82974.63,136832.20666666667
2023-07-23 01:20:23,0.0,0.46333333333333326,8.183333333333334,26.336666666666666,33566261248.0,80942.43000000001,134689.41999999998
2023-07-23 01:25:23,0.0,0.2899999999999999,8.129999999999999,26.409999999999997,33566261248.0,79347.42,132221.1
2023-07-23 01:30:23,0.0,0.3966666666666666,7.563333333333333,26.139999999999997,33566261248.0,74915.62333333332,126383.73000000001
2023-07-23 01:35:23,0.0,0.24333333333333332,0.0,33.739999999999995,33566261248.0,74619.50666666667,126646.36000000002
2023-07-23 01:40:23,0.0,0.32999999999999996,0.0,33.36,33566261248.0,73321.70333333334,124329.78333333333
2023-07-23 01:45:23,0.0,0.32666666666666666,0.0,33.21333333333333,33566261248.0,73218.01333333334,123534.3
2023-07-23 01:50:23,0.0,0.4833333333333333,0.0,33.013333333333335,33566261248.0,71739.69,121593.38333333333
2023-07-23 01:55:23,0.0,0.3333333333333333,0.0,32.92333333333333,33566261248.0,71029.95333333334,121165.6
2023-07-23 02:00:23,0.0,0.46333333333333326,0.0,32.87,33566261248.0,70001.95,119565.12666666666
2023-07-23 02:05:23,0.0,0.30333333333333334,0.0,33.04666666666667,33566261248.0,70028.28666666667,119996.81999999999
2023-07-23 02:10:23,0.0,0.43,0.0,32.39,33566261248.0,67515.16,116819.79333333333
2023-07-23 02:15:23,0.0,0.30333333333333334,0.0,32.46666666666666,33566261248.0,68099.45999999999,117201.77666666666
2023-07-23 02:20:23,0.0,0.42333333333333323,0.0,32.61333333333333,33566261248.0,68316.50666666667,116806.93666666668
2023-07-23 02:25:23,0.0,0.36,0.0,32.376666666666665,33566261248.0,67677.81999999999,116676.65666666666
2023-07-23 02:30:23,0.0,0.35666666666666663,0.0,32.65,33566261248.0,68054.67666666667,116689.02666666666
2023-07-23 02:35:23,0.0,0.29999999999999993,0.0,32.11333333333333,33566261248.0,66285.61333333333,114661.12
2023-07-23 02:40:23,0.0,0.35,0.0,32.05,33566261248.0,66065.49,114388.98000000001
2023-07-23 02:45:23,0.0,0.3333333333333333,2.3633333333333333,29.78,33566261248.0,65568.05,114089.88
2023-07-23 02:50:23,0.0,0.32999999999999996,7.1466666666666665,24.7,33566261248.0,63082.51666666666,110986.11000000002
2023-07-23 02:55:23,0.0,0.36,7.023333333333333,24.5,33566261248.0,62167.07333333333,109940.42333333334
2023-07-23 03:00:23,0.0,0.35666666666666663,6.779999999999999,24.25,33566261248.0,60781.14333333333,107900.75333333334
2023-07-23 03:05:23,0.0,1.1366666666666667,6.9,24.436666666666664,33566261248.0,61458.12666666666,109368.28666666667
2023-07-23 03:10:23,0.0,0.35666666666666663,7.003333333333333,24.506666666666668,33566261248.0,61727.77333333333,109307.88
2023-07-23 03:15:23,0.0,0.3466666666666666,6.933333333333333,24.636666666666663,33566261248.0,62466.753333333334,110308.63333333333
2023-07-23 03:20:23,0.0,0.3366666666666666,6.836666666666666,24.29,33566261248.0,60819.55,108534.60333333335
